Feature ID,Description,English,Bislama,Pijin,Tok Pisin,Torres Creole
gb021,Do indefinite nominals commonly have indefinite articles?,1,0,0,0,0
gb023,Are there postnominal articles?,0,1,1,0,0
gb024,What is the order of numeral and noun in the NP?,1,1,1,1,1
gb026,Can adnominal property words occur discontinuously?,0,0,0,0,0
gb027,Are nominal conjunction and comitative expressed by different elements?,1,1,1,1,1
gb028,Is there a distinction between inclusive and exclusive?,0,1,1,1,1
gb030,Is there a gender distinction in independent 3rd person pronouns?,1,0,0,0,0
gb031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,0,1,1,1,1
gb035,Are there three or more distance contrasts in demonstratives?,0,0,0,0,0
gb036,Do demonstratives show an elevation distinction?,0,0,0,0,0
gb037,Do demonstratives show a visible-nonvisible distinction?,0,0,0,0,0
gb038,Are there demonstrative classifiers?,0,0,0,0,0
gb039,Is there nonphonological allomorphy of noun number markers?,1,0,0,0,0
gb041,Are there several nouns (more than three) which are suppletive for number?,0,0,0,0,0
gb042,Is there productive overt morphological singular marking on nouns?,0,0,0,0,0
gb043,Is there productive morphological dual marking on nouns?,0,0,0,0,0
gb044,Is there productive morphological plural marking on nouns?,1,0,0,0,0
gb051,Is there a gender/noun class system where sex is a factor in class assignment?,0,0,0,0,0
gb052,Is there a gender/noun class system where shape is a factor in class assignment?,0,0,0,0,0
gb053,Is there a gender/noun class system where animacy is a factor in class assignment?,0,0,0,0,0
gb054,Is there a gender/noun class system where plant status is a factor in class assignment?,0,0,0,0,0
gb057,Are there numeral classifiers?,0,0,0,0,0
gb058,Are there possessive classifiers?,0,0,0,0,0
gb068,Do core adjectives (defined semantically as property concepts such as value shape age dimension) act like verbs in predicative position?,0,1,1,1,1
gb070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,0,0,0,0,0
gb071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,1,1,0,0,1
gb074,Are there prepositions?,1,1,1,1,1
gb075,Are there postpositions?,0,0,0,0,0
gb079,Do verbs have prefixes/proclitics other than those that only mark A S or P (do include portmanteau: A & S + TAM)?,0,0,0,0,0
gb080,Do verbs have suffixes/enclitics other than those that only mark A S or P (do include portmanteau: A & S + TAM)?,1,1,1,1,1
gb081,Is there productive infixation in verbs?,0,0,0,0,0
gb082,Is there overt morphological marking of present tense on verbs?,0,0,0,0,0
gb083,Is there overt morphological marking on the verb dedicated to past tense?,1,0,0,0,0
gb084,Is there overt morphological marking on the verb dedicated to future tense?,0,0,0,0,0
gb086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,0,0,0,0
gb089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,0,0,0,0
gb090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,0,0,0,0
gb091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,0,0,0,0
gb092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,0,0,0,0
gb093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,0,0,0,1
gb094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,0,0,0,0
gb095,Are variations in marking strategies of core participants based on TAM distinctions?,1,0,0,0,0
gb096,Are variations in marking strategies of core participants based on verb classes?,0,0,0,0,0
gb098,Are variations in marking strategies of core participants based on person distinctions?,1,0,0,0,1
gb099,Can verb stems alter according to the person of a core participant?,0,0,0,0,0
gb103,Is there a benefactive applicative marker on the verb (including indexing)?,0,0,0,0,0
gb104,Is there an instrumental applicative marker on the verb (including indexing)?,0,0,0,0,0
gb105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,1,1,1,1,1
gb107,Can standard negation be marked by an affix clitic or modification of the verb?,1,0,0,0,0
gb108,Is there directional or locative morphological marking on verbs?,0,1,0,0,1
gb109,Is there verb suppletion for participant number?,0,0,0,0,0
gb110,Is there verb suppletion for tense or aspect?,1,0,0,0,0
gb111,Are there conjugation classes?,1,0,0,0,0
gb113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,1,1,1,1
gb114,Is there a phonologically bound reflexive marker on the verb?,0,1,0,0,0
gb115,Is there a phonologically bound reciprocal marker on the verb?,0,1,0,0,0
gb116,Do verbs classify the shape size or consistency of absolutive arguments by means of incorporated nouns verbal affixes or suppletive verb stems?,0,0,0,0,0
gb118,Are there serial verb constructions?,1,1,1,1,1
gb119,Can mood be marked by an inflecting word ('auxiliary verb')?,1,0,0,0,0
gb120,Can aspect be marked by an inflecting word ('auxiliary verb')?,1,0,0,0,0
